Species,2025 MS_Ler,2024 MS_Ler,2023 NS_LerXT,2022 NS_LerXT,Reinhart et al. (2025),Cooper & Blanchard (2023),Singh et al. (2000)
Semibalanus balanoides,80,155,595,114,1,1,1
Carcinus maenas,53,268,46,64,1,1,1
Dynamena pumila,157,179,1037,80,1,1,0
Electra pilosa,1764,23953,12319,9410,1,0,1
Halichondria panicea,43,153,96,26,1,0,1
Amphibalanus improvisus,39,11695,15075,675,0,1,1
Streblospio benedicti,632,1294,332,122,0,1,1
Corophium volutator,176,410,27,263,0,1,1
Littorina obtusata,14,63,95,0,1,1,1
Membranipora membranacea,2476,16938,3351,1147,1,0,0
Oithona similis,40,366,2759,2914,1,0,0
Centropages hamatus,524,983,456,40,1,0,0
Polydora cornuta,52,73910,111870,1944,0,1,0
Heteranomia squamula,19902,8062,14203,7381,0,1,0
Sabellaria vulgaris,662,75,15244,31,0,1,0
Tubificoides benedii,16,208,104,17,0,1,0
Nucula proxima,1647,204,3136,0,1,1,0
Ninoe nigripes,26,104,13309,0,0,1,1
Alitta virens,159,1025,17,0,0,1,1
Mya arenaria,12,28,37,0,0,1,1
Littorina saxatilis,20,21,0,0,1,1,1
Hediste diversicolor,10,0,28,33,0,1,1
Lacuna vincta,10,0,58,0,1,1,1
Centropages typicus,0,30,7293,305,1,1,0
Balanus crenatus,0,39,10286,0,1,1,1
Littorina littorea,0,99,52,0,1,1,1
Hartlaubella gelatinosa,622,7411,6079,606,0,0,0
Paracalanus parvus,416,688,6015,765,0,0,0
Alcyonidium polyoum,85,322,83,2140,0,0,0
Flustra foliacea,209,338,654,691,0,0,0
Halecium halecinum,589,466,174,235,0,0,0
Obelia dichotoma,132,592,115,174,0,0,0
Obelia geniculata,63,56,36,209,0,0,0
Amathia gracilis,18,23,119,7,0,0,0
Clava multicornis,11,22,20,0,1,0,0
Leptasterias littoralis,9,21,57,0,0,0,1
Strongylocentrotus droebachiensis,0,88,0,13,1,0,1
Modiolus modiolus,0,0,19635,158,1,0,1
Capitella capitata,0,0,130,54752,0,1,1
Mytilus edulis,0,0,14,0,1,1,1
Laomedea flexuosa,489,5,237,0,0,0,0
Marenzelleria viridis,24,150,21,0,0,0,0
Nicolea zostericola,99,53,0,40,0,0,0
Nanomia cara,17,6,0,87,0,0,0
Clymenella torquata,226,110,0,0,0,1,0
Calycella syringa,48,17,0,0,0,1,0
Pherusa affinis,21,25,0,0,0,1,0
Orchestia grillus,11,9,0,0,0,0,1
Tubularia indivisa,12,0,13,24,0,0,0
Sternaspis scutata,0,19,0,0,0,1,1
Spisula solidissima,0,0,142,301,1,0,0
Pygospio elegans,0,0,0,0,1,1,1
Anomia simplex,0,0,0,0,1,1,1
Euspira heros,0,0,0,0,1,1,1
Obelia longissima,7098,160,0,0,0,0,0
Dodecaceria concharum,17,29,0,0,0,0,0
Gonothyraea loveni,12,32,0,0,0,0,0
Dendrobeania murrayana,12,27,0,0,0,0,0
Echinarachnius parma,7,0,7594,0,0,0,0
Pseudocalanus newmani,194,0,1915,0,0,0,0
Caberea ellisii,10,0,0,0,1,0,0
Monocorophium insidiosum,13,0,0,0,0,1,0
Stereobalanus canadensis,0,46,0,0,0,1,0
Ophelina acuminata,0,27,0,0,0,1,0
Polycirrus eximius,0,15,0,0,0,1,0
Eurytemora affinis,0,0,14256,964,0,0,0
Pleurobrachia pileus,0,0,6576,22,0,0,0
Pseudocalanus moultoni,0,0,656,357,0,0,0
Lineus viridis,0,0,33,0,1,0,0
Arctica islandica,0,0,4080,0,0,1,0
Parvicardium pinnulatum,0,0,127,0,0,1,0
Terebellides stroemii,0,0,85,0,0,1,0
Siphonenteron bicolour,0,0,5564,0,0,0,1
Gammarus lawrencianus,0,0,32,0,0,0,1
Metridia lucens,0,0,0,41,1,0,0
Balanus balanus,0,0,0,19,1,0,0
Yoldia limatula,0,0,0,13,0,1,0
Scolelepis squamata,0,0,0,0,1,1,0
Marinogammarus obtusatus,0,0,0,0,1,1,0
Margarites helicinus,0,0,0,0,1,1,0
Mancocuma stellifera,0,0,0,0,1,1,0
Paraonis fulgens,0,0,0,0,1,1,0
Celleporella hyalina,0,0,0,0,1,1,0
Spiophanes bombyx,0,0,0,0,1,1,0
Protodorvillea kefersteini,0,0,0,0,1,1,0
Ecrobia truncata,0,0,0,0,1,1,0
Diastylis sculpta,0,0,0,0,1,1,0
Fabricia stellaris,0,0,0,0,1,1,0
Enchytraeus albidus,0,0,0,0,1,0,1
Asterias rubens,0,0,0,0,1,0,1
Chiridotea coeca,0,0,0,0,1,0,1
Buccinum undatum,0,0,0,0,1,0,1
Gammarus oceanicus,0,0,0,0,1,0,1
Flustrellidra hispida,0,0,0,0,1,0,1
Crangon septemspinosa,0,0,0,0,0,1,1
Glycera dibranchiata,0,0,0,0,0,1,1
Goniada maculata,0,0,0,0,0,1,1
Harmothoe imbricata,0,0,0,0,0,1,1
Macoma balthica,0,0,0,0,0,1,1
Hiatella arctica,0,0,0,0,0,1,1
Leptocheirus pinguis,0,0,0,0,0,1,1
Oxyurostylis smithi,0,0,0,0,0,1,1
Adalaria proxima,0,0,0,0,0,1,1
Eteone longa,0,0,0,0,0,1,1
Eulalia viridis,0,0,0,0,0,1,1
